Id,EquipmentId,ItemNumber,RegistrationNumber,TrackedBy,Number,StatusId,StatusName,IsOptional,ControlNumber,Type,ATACode,ManufacturingMaintenanceCode,Description,LastUpdated,DateReported,ReportedHours,ReportedLandings,ReportedCycles,ReportedRIN,Category,HardNextDueDate,HardNextDueHours,HardNextDueLandings,HardNextDueCycles,HardNextDueRIN,DiscrepancyTypeId,DiscrepancyTypeName,DelayStatus,ActionCode,PreliminaryInspectionRequired,IsAircraftGrounded,Reference,HiddenDamageInspectionRequired,DiscoveryPoint,DiscoveredBy,ReportedInformationNotes,InterruptionHours,WorkHours,ResolvedAt,CorrectiveActionNotes,ResolvedBy,LogDate,LogCycles,LogHours,LogLandings,LogRIN,Created
05c474f6-852e-48df-a4fb-88d898f89aa7,36731,932,141187,Engine 1,20221104173157,4,Closed,False,782-11-4-22ASK,DISCREPANCY,77,,N1 ENGINE 1 ERRATIC ON START UP FLUCTUATES UP AND DOWN ABNORMALLY STAND BY OR BACKUP N1 INDICATES PROPERLY,2022-11-10T13:19:59.8771546Z,2022-11-04,,,,,,,,,,,1,Pirep,,,False,True,,False,,MANFREDI,,,,,"R&R N1 MAG PICKUP IAW WILLIAMS J44-3A EMM 77-10-00-401 LP RAN ENGINE, INDICATIONS ARE NORMAL P/N OFF 57355 S/N OFF MD-86346, P/N ON 57355-C S/N ON MD-0189001",Cheri Herrin,2022-11-09,6202.0,8534.2,,,2022-11-04T21:33:49.0704204Z
ae597915-de00-4c62-b626-52b0a306171a,36674,1090,Eng PCE-DE00,Engine 2,20220929101909,1,Open,False,,DISCREPANCY,72,,"RH Engine OH, Remove and Replace with rental engine.
Remove Core Engine from Aircraft 
Remove QAC from Core Engine 
Ready Core Engine for Shipment, Create logbook entry for removal of engine.
Ready Rental Engine for Installation onto Aircraft 
Install QAC onto Rental Engine 
Install Rental Engine onto Aircraft 
Do 5 Point uncapped run on Engine After Installation, Create logbook entry for installation of engine.",2022-10-04T10:48:05.2819176Z,2022-09-29,8694.2,,6767.0,,A,2022-10-10,,,,,2,Non-Routine,NODELAY,,True,False,,False,,,,,,,,,,,,,,2022-09-29T14:23:22.46692Z
e49a32ad-9710-41d7-8804-e7d20d5a4201,38154,841,N14G,Airframe ,20230311184419,4,Closed,False,14G-3-11-23CTW,DISCREPANCY,12,,CHECK TIRE PRESSURE SERVICING ON ALL TIRES,2023-03-15T11:25:52.6385245Z,2023-03-11,488.33,298,,,,,,,,,2,Non-Routine,,,False,True,,False,,,,,,,CHECKED AND SERVICED TIRES AS REQUESTED REF CE525B AMM 12-13-03,Cheri Herrin,2023-03-11,,488.33,298,,2023-03-11T23:45:17.923531Z
85cb6708-2cf8-43d2-9595-c8dc4974c373,38154,838,N14G,Airframe ,20230306112941,4,Closed,False,14-3-6-23RW,DISCREPANCY,25,,RH Pilot seal loose,2023-03-07T11:57:14.6222245Z,2023-03-06,,,,,,,,,,,1,Pirep,,,False,True,,False,,,,,,,ACCESSED THE SEAT RAIL TENSION ROLLERS AND ADJUSTED TO REMOVE SIDE TO SIDE LOOSENESS. OPS CHECK GOOD,Cheri Herrin,2023-03-06,,,,,2023-03-06T16:30:13.3018329Z
e1ba1379-b78f-4dfa-99bd-7a83cb38f29e,38154,839,N14G,Airframe ,20230307074922,4,Closed,False,,DISCREPANCY,34,,VERIFY NAVIGATION DATABASE IS UP TO DATE,2023-03-07T12:53:33.6045913Z,2023-03-01,,,,,,,,,,,2,Non-Routine,,,False,True,,False,,,,,0.0,,"VERIFIED NAV DATABASE IS UP TO DATEEXPIRES MARCH 23, 2023",Cheri Herrin,2023-03-01,,,,,2023-03-07T12:50:02.5122392Z
4fc25fa3-883f-4980-ad23-acee490fb763,38154,840,N14G,Airframe ,20230307075057,4,Closed,False,,DISCREPANCY,25,,VERIFY INTERIOR TOUCH UP STATUS,2023-03-07T12:51:50.6742702Z,2023-03-01,,,,,,,,,,,2,Non-Routine,,,False,True,,False,,,,,,,VERIFIED INTERIOR TOUCH UP IAW FE SOP,Cheri Herrin,2023-03-01,,,,,2023-03-07T12:51:23.6001652Z
2de5b06d-b645-4330-b218-23ea2175fb88,38154,831,N14G,Airframe ,20230226210833,4,Closed,False,14G-2-26-23CTW,DISCREPANCY,32,,LEFT MAIN CORD SHOWING IN TWO AREAS.,2023-03-07T12:27:56.6825754Z,2023-02-26,466.1,285,,,,,,,,,1,Pirep,,,False,True,,False,,,,,,,REPLACED LH MLG TIRE IAW CESSNA 525B MM 32-41-00 AND BF GOODRICH CMM 32-45-51 AND SERVICED IAW CESSNA 525B MM 12-13-03 (PN OFF/ON 026-618-0 SN OFF 1286R00095 SN ON 2350P00019),Cheri Herrin,2023-03-01,,466.1,285,,2023-02-27T02:10:03.1321569Z
375769cd-28ea-434e-9e51-4d50c35fd847,38154,832,N14G,Airframe ,20230226211006,4,Closed,False,14G-2-26-23CTW,DISCREPANCY,52,,AIRCRAFT ONLY HAS ONE KEY,2023-03-07T12:28:27.4835652Z,2023-02-26,466.1,285,,,,,,,,,1,Pirep,,,False,True,,False,,,,,,,REPLACED MISSING KEY WITH STANDARD FLEET KEY IAW COMPANY POLICY,Cheri Herrin,2023-03-01,,466.1,285,,2023-02-27T02:11:08.1876559Z
e4a85981-624d-4440-a3f5-a7168c5427aa,38154,833,N14G,Airframe ,20230226211110,4,Closed,False,14G-2-26-23CTW,DISCREPANCY,,,CHIP DRAWER LATCH DOES NOT HOLD DRAWER CLOSED IN FLIGHT,2023-03-07T12:29:41.4582718Z,2023-02-26,466.1,285,,,,,,,,,1,Pirep,,,False,True,,False,,,,,,,ADJUSTED LATCH STRIKER IAW CESSNA 525B IMM 25-30-01 OPS CHECK GOOD,Cheri Herrin,2023-03-01,,466.1,285,,2023-02-27T02:12:22.3120124Z
5b58416c-baa5-4354-9377-becf868e2682,38154,835,N14G,Airframe ,20230226211337,4,Closed,False,14G-2-26-23CTW,DISCREPANCY,32,,NOSE WHEEL CENTER TREAD GONE,2023-03-07T12:30:58.0871166Z,2023-02-26,466.1,285,,,,,,,,,2,Non-Routine,,,False,True,,False,,,,,,,R&R NOSE WHEEL TIRE IAW CESSNA 525B MM 32-41-00 AND GOODRICH CORP CMM 32-47-42,Cheri Herrin,2023-03-01,,466.1,285,,2023-02-27T02:14:23.9266071Z
