Id,LookupId,Number,Aircraft_RegistrationNumber,StartDate,EndDate,StartTime,EndTime,Status_Name,TermsAndConditions,Created,LastUpdated,IsActive,Notes,EstimatedInventoryCostSubTotal,EstimatedLaborCostSubTotal,EstimatedAdditionalCostSubTotal,EstimatedTotalCost,ActualInventoryCostSubTotal,ActualLaborCostSubTotal,ActualAdditionalCostSubTotal,ActualTotalCost,OpenLineItemCount,InReviewLineItemCount,RequireSignatureLineItemCount,ClosedLineItemCount,LineItemCount,EstimatedHours,CompletedHours,RemainingHours,ClosedLineItemPercent,CompletedHoursPercent,ContactName,ContactEmail,ContactPhone,ReferenceField,FlightDocsURL
135018,93e9556e-c915-4ccd-aaf1-8207633575b9,WO979-3-12-23JL,N979JS,2023-03-12,2023-03-14,,,Draft,,2023-02-24T01:43:11.433Z,2023-03-22T10:47:03.8779739Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0,0,9,0.0,0.0,0.0,0,0,,,,SCHED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/135018
130291,99778b4b-9f05-476e-8185-ae9a5b92b2ca,WO979-1-18-23JL,N979JS,2023-01-18,2023-01-19,,,Closed,,2023-01-03T00:12:30.327Z,2023-02-13T15:45:50.7543145Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,36,36,0.0,0.0,0.0,100,0,,,,SCHEDULED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/130291
129570,892291cf-7832-4f02-8cca-e5292976c055,WO976-1-26-23JL,N976JS,2023-01-26,2023-01-28,,,Closed,,2022-12-24T03:55:54.983Z,2023-02-17T12:19:31.0909642Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,27,27,0.0,0.0,0.0,100,0,,,,SCHEDULED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/129570
129567,85e32ab3-b678-4f53-9b92-6b1644be8eea,WO975-1-24-23JL,N975JS,2023-01-24,2023-01-26,,,Closed,,2022-12-24T03:27:57.8Z,2023-01-24T19:29:50.3581423Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,32,32,0.0,0.0,0.0,100,0,,,,SCHEDULED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/129567
129566,0d1583bd-9346-4bf4-a9f6-c343cb00af46,WO971-3-21-23JL,N971JS,2023-03-21,2023-03-24,,,Draft,,2022-12-24T02:51:54.82Z,2023-03-22T10:45:53.3483168Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,0,15,0.0,0.0,0.0,0,0,,,,SCHEDULED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/129566
131992,5f9dbb41-0ed2-4a03-bcef-48f4bba08d39,WO971-2-28-23JL,N971JS,2023-02-28,2023-03-02,,,Canceled,,2023-01-23T01:36:28.48Z,2023-01-23T01:38:19.4877692Z,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,,SCHEDULED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/131992
131744,7d26a5e8-94ca-4d4e-aedb-a071bf222621,WO970-1-23-23SY,N970JS,2023-01-23,2023-01-25,,,Closed,,2023-01-19T00:31:56.82Z,2023-01-30T15:28:07.9295442Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,32,32,0.0,0.0,0.0,100,0,,,,SCHED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/131744
137701,2f053b73-29f0-41c6-bd2b-9a1b18effe4f,WO957-4-26-23SY,N957JS,2023-04-26,2023-04-28,,,Draft,,2023-03-23T21:09:21.017Z,2023-03-23T21:19:20.2114416Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,0,0,14,0.0,0.0,0.0,0,0,,,,SCHED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/137701
130961,c2fbd46b-ca76-4a00-91e6-4b4fc53ab8ec,WO957-1-24-23SY,N957JS,2023-01-24,2023-01-27,2023-01-24T05:00:00Z,2023-01-28T04:59:00Z,Closed,,2023-01-09T18:42:55.76Z,2023-01-17T13:58:11.140887Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,2,,,,100,0,,,,Windscreen,https://app2.flightdocs.com/#/work-orders/work-order/detail/130961
137674,de2938d7-91c2-451b-be34-bf3c70139275,WO956-4-10-23CW,N956JS,2023-04-10,,,,Draft,,2023-03-23T17:42:43.567Z,2023-03-23T23:45:08.7595762Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,0,10,0.0,0.0,0.0,0,0,,,,,https://app2.flightdocs.com/#/work-orders/work-order/detail/137674
